,game,release_date,Platform,Genre,developer,owners,publisher,price,Rank,average_playtime,median_playtime,metascore_x,Year,metascore_y,userscore
0,Half-Life 2,16-Nov-04,PC,Shooter,Valve,"10,000,000-20,000,000",Valve,9.99,104,110.0,66.0,96.0,2004.0,96,9.1
1,Counter-Strike: Source,1-Nov-04,PC,Shooter,Valve,"10,000,000-20,000,000",Valve,9.99,37,236.0,128.0,88.0,2004.0,88,8.9
2,Counter-Strike: Condition Zero,1-Mar-04,PC,Shooter,Valve,"10,000,000-20,000,000",Valve,9.99,20705,10.0,3.0,65.0,2004.0,65,8.7
3,Beyond Divinity,27-Apr-04,PC,Role-Playing,Larian Studios,"500,000-1,000,000",Larian Studios,5.99,20549,0.0,0.0,73.0,2004.0,73,7.4
4,Hitman: Contracts,20-Apr-04,PS2,Shooter,Io-Interactive A/S,"500,000-1,000,000",Io-Interactive A/S,8.99,2971,0.0,0.0,,2004.0,80,8.2
5,Hitman: Contracts,20-Apr-04,PC,Shooter,Io-Interactive A/S,"500,000-1,000,000",Io-Interactive A/S,8.99,19982,0.0,0.0,,2004.0,74,7.6
6,Gish,4-May-04,PC,Platform,Cryptic Sea,"200,000-500,000",Chronic Logic,9.99,9466,0.0,0.0,80.0,2004.0,80,7.1
7,Soldiers: Heroes of World War II,29-Jun-04,PC,Strategy,Best Way,"100,000-200,000",1C Entertainment,4.99,45387,0.0,0.0,77.0,2014.0,77,8.3
8,World War II: Panzer Claws,14-Jan-04,PC,Strategy,,"100,000-200,000",Topware Interactive,4.99,51773,250.0,181.0,61.0,2002.0,61,7.1
9,Aura: Fate of the Ages,24-Jun-04,PC,Adventure,Streko Graphics,"50,000-100,000",THQ Nordic,4.99,23473,0.0,0.0,63.0,2004.0,63,6
10,Platypus,2-Jun-04,PSP,Shooter,Idigicon,"50,000-100,000",KISS ltd,6.99,18237,0.0,0.0,,2006.0,59,tbd
11,Kohan II: Kings of War,21-Sep-04,PC,Strategy,TimeGate Studios,"20,000-50,000",TimeGate Studios,9.99,35591,0.0,0.0,81.0,2004.0,81,7.7
12,Perimeter,21-May-04,PC,Strategy,K-D Lab,"20,000-50,000",1C Entertainment,3.99,20928,0.0,0.0,77.0,2004.0,77,7.6
13,Warlords Battlecry III,17-May-04,PC,Strategy,Infinite Interactive,"20,000-50,000","Retroism, Enlight Software Limited",9.99,51055,0.0,0.0,73.0,2004.0,73,8.5
14,Men of Valor,29-Nov-04,PC,Shooter,2015,"20,000-50,000",THQ Nordic,9.99,37605,0.0,0.0,71.0,2004.0,71,6.2
15,Shadow Ops: Red Mercury,17-Sep-04,PC,Shooter,Zombie Studios,"20,000-50,000",Retroism,6.99,44203,0.0,0.0,61.0,2004.0,61,6.3
16,Chris Sawyer's Locomotion,10-Sep-04,PC,Strategy,Chris Sawyer,"20,000-50,000",Atari,5.99,19960,0.0,0.0,,2004.0,59,5.6
17,Nemesis of the Roman Empire,17-Mar-04,PC,Strategy,Haemimont Games,"0-20,000","Retroism, Enlight Software Limited",9.99,39175,0.0,0.0,74.0,2004.0,74,7.3
