game,release_date,price,owners,developer,publisher,average_playtime,median_playtime,Rank,Genre,ESRB_Rating,Platform,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,url,img_url,metascore,userscore
.hack//G.U. Last Recode,3-Nov-17,49.99,"100,000-200,000",CyberConnect2,BANDAI NAMCO Entertainment,3,1,7833,Role-Playing,T,PS4,,,,0.24,0.1,0.04,0.08,0.03,2017,http://www.vgchartz.com/game/184291/hackgu-last-recode/?region=All,/games/boxart/full_4731444AmericaFrontccc.jpg,76,7.8
.hack//G.U. Last Recode,3-Nov-17,49.99,"100,000-200,000",CyberConnect2,BANDAI NAMCO Entertainment,3,1,21271,Role-Playing,T,PC,,,,,,,,,2018,http://www.vgchartz.com/game/184292/hackgu-last-recode/?region=All,/games/boxart/full_5095091AmericaFrontccc.jpg,69,6.5
2064: Read Only Memories,6-Oct-15,19.99,"200,000-500,000","MidBoss, LLC.","MidBoss, LLC., AGM PLAYISM",0,0,21400,Adventure,,PS4,,,,,,,,,2017,http://www.vgchartz.com/game/86208/2064-read-only-memories/?region=All,/games/boxart/full_3822318AmericaFrontccc.jpg,76,3.3
2Dark,10-Mar-17,24.99,"0-20,000",Gloomywood,Bigben Interactive,0,0,21415,Action,,PC,,,,,,,,,2015,http://www.vgchartz.com/game/84115/2dark/?region=All,/games/boxart/full_2184197AmericaFrontccc.jpg,68,5.3
428: Shibuya Scramble,4-Sep-18,49.99,"0-20,000","Spike Chunsoft Co., Ltd., Abstraction Games","Spike Chunsoft Co., Ltd.",0,0,17576,Visual Novel,T,PS4,,,,0.02,0.01,,0.01,0,2018,http://www.vgchartz.com/game/221494/428-shibuya-scramble/?region=All,/games/boxart/full_5550270AmericaFrontccc.jpg,84,7.9
4PM,9-Jul-14,2.99,"0-20,000",Bojan Brbora,4PM GAME,0,0,21522,Adventure,,PC,,,,,,,,,2014,http://www.vgchartz.com/game/83572/4pm/?region=All,/games/boxart/full_9505053AmericaFrontccc.jpg,41,4.2
7 Days to Die,13-Dec-13,24.99,"2,000,000-5,000,000",The Fun Pimps,The Fun Pimps Entertainment LLC,0,0,8613,Action,M,PS4,,,,0.21,0.09,0.08,,0.03,2016,http://www.vgchartz.com/game/103412/7-days-to-die/?region=All,/games/boxart/full_3664066AmericaFrontccc.jpg,45,5.8
7 Wonders of the Ancient World,18-Feb-14,6.99,"20,000-50,000",MumboJumbo,MumboJumbo,0,0,11176,Puzzle,E,DS,,,,0.13,0.1,0.01,,0.01,2007,http://www.vgchartz.com/game/6801/7-wonders-of-the-ancient-world/?region=All,/games/boxart/1856797ccc.jpg,60,8.3
7 Wonders of the Ancient World,18-Feb-14,6.99,"20,000-50,000",MumboJumbo,MumboJumbo,0,0,13419,Puzzle,E,PSP,5.4,,,0.08,0.07,,,0.01,2007,http://www.vgchartz.com/game/6045/7-wonders-of-the-ancient-world/?region=All,/games/boxart/1967822ccc.jpg,51,tbd
8-Bit Armies,22-Apr-16,14.99,"100,000-200,000",Petroglyph,Petroglyph,0,0,52615,Strategy,E10,PC,,,,,,,,,2018,http://www.vgchartz.com/game/222257/8-bit-armies/?region=All,/games/boxart/full_7629188PALFrontccc.jpg,69,7.3
