,game,release_date,price,owners,developer,publisher,average_playtime,median_playtime,metascore,Rank,Genre,ESRB_Rating,Platform,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,url,img_url
0,Half-Life 2,16-Nov-04,9.99,"10,000,000-20,000,000",Valve,Valve,110.0,66.0,96.0,104,Shooter,M,PC,9.7,,8.88,,,,,,2004.0,http://www.vgchartz.com/game/7279/half-life-2/?region=All,/games/boxart/6354662ccc.jpg
1,Half-Life 2,16-Nov-04,9.99,"10,000,000-20,000,000",Valve,Valve,110.0,66.0,96.0,3794,Shooter,M,XB,8.9,,,0.61,0.37,0.21,,0.03,2005.0,http://www.vgchartz.com/game/938/half-life-2/?region=All,/games/boxart/full_8931705AmericaFrontccc.jpg
2,Half-Life 2,16-Nov-04,9.99,"10,000,000-20,000,000",Valve,Valve,110.0,66.0,96.0,32875,Misc,,OSX,,,,,,,,,2010.0,http://www.vgchartz.com/game/71658/half-life-2/?region=All,/games/boxart/default.jpg
3,Counter-Strike: Source,1-Nov-04,9.99,"10,000,000-20,000,000",Valve,Valve,236.0,128.0,88.0,37,Shooter,M,PC,9.3,,15.0,,,,,,2004.0,http://www.vgchartz.com/game/12531/counter-strike-source/?region=All,/games/boxart/full_9030886AmericaFrontccc.jpg
4,Counter-Strike: Source,1-Nov-04,9.99,"10,000,000-20,000,000",Valve,Valve,236.0,128.0,88.0,27113,Misc,,OSX,,,,,,,,,2010.0,http://www.vgchartz.com/game/71665/counter-strike-source/?region=All,/games/boxart/default.jpg
5,Counter-Strike: Condition Zero,1-Mar-04,9.99,"10,000,000-20,000,000",Valve,Valve,10.0,3.0,65.0,20705,Shooter,M,PC,6.8,,,0.0,,0.0,,0.0,2004.0,http://www.vgchartz.com/game/18917/counter-strike-condition-zero/?region=All,/games/boxart/8103509ccc.jpg
6,Counter-Strike: Condition Zero,1-Mar-04,9.99,"10,000,000-20,000,000",Valve,Valve,10.0,3.0,65.0,27108,Misc,,OSX,,,,,,,,,2013.0,http://www.vgchartz.com/game/72164/counter-strike-condition-zero/?region=All,/games/boxart/default.jpg
7,Half-Life 2: Deathmatch,1-Nov-04,4.99,"5,000,000-10,000,000",Valve,Valve,0.0,0.0,,32876,Shooter,M,PC,,,,,,,,,2004.0,http://www.vgchartz.com/game/35446/half-life-2-deathmatch/?region=All,/games/boxart/full_8740046AmericaFrontccc.jpg
8,Half-Life: Source,1-Jun-04,9.99,"2,000,000-5,000,000",Valve,Valve,0.0,0.0,,32897,Shooter,M,PC,,,,,,,,,2004.0,http://www.vgchartz.com/game/26992/half-life-source/?region=All,/games/boxart/full_half-life-source_178PALFront.jpg
9,Unreal Tournament 2004: Editor's Choice Edition,16-Mar-04,14.99,"500,000-1,000,000","Epic Games, Inc.","Epic Games, Inc.",0.0,0.0,93.0,50402,Shooter,M,PC,,,,,,,,,2004.0,http://www.vgchartz.com/game/35235/unreal-tournament-2004-editors-choice-edition/?region=All,/games/boxart/full_5005084AmericaFrontccc.jpg
10,Beyond Divinity,27-Apr-04,5.99,"500,000-1,000,000",Larian Studios,Larian Studios,0.0,0.0,73.0,20549,Role-Playing,M,PC,,,,0.0,,0.0,,0.0,2004.0,http://www.vgchartz.com/game/25193/beyond-divinity/?region=All,/games/boxart/2518786ccc.jpg
11,Hitman: Contracts,20-Apr-04,8.99,"500,000-1,000,000",Io-Interactive A/S,Io-Interactive A/S,0.0,0.0,,2971,Shooter,M,PS2,,,,0.8,0.39,0.31,,0.1,2004.0,http://www.vgchartz.com/game/5197/hitman-contracts/?region=All,/games/boxart/4552657ccc.jpg
12,Hitman: Contracts,20-Apr-04,8.99,"500,000-1,000,000",Io-Interactive A/S,Io-Interactive A/S,0.0,0.0,,6152,Shooter,M,XB,,,,0.34,0.26,0.07,,0.01,2004.0,http://www.vgchartz.com/game/985/hitman-contracts/?region=All,/games/boxart/3924172ccc.jpg
13,Hitman: Contracts,20-Apr-04,8.99,"500,000-1,000,000",Io-Interactive A/S,Io-Interactive A/S,0.0,0.0,,19982,Shooter,M,PC,,,,0.0,,0.0,,0.0,2004.0,http://www.vgchartz.com/game/17724/hitman-contracts/?region=All,/games/boxart/full_281729AmericaFrontccc.jpg
14,Gish,4-May-04,9.99,"200,000-500,000",Cryptic Sea,Chronic Logic,0.0,0.0,80.0,9466,Platform,,PC,8.2,,0.18,,,,,,2004.0,http://www.vgchartz.com/game/27052/gish/?region=All,/games/boxart/full_4686864AmericaFrontccc.jpg
15,Soldiers: Heroes of World War II,29-Jun-04,4.99,"100,000-200,000",Best Way,1C Entertainment,0.0,0.0,77.0,45387,Strategy,,PC,,,,,,,,,2014.0,http://www.vgchartz.com/game/83530/soldiers-heroes-of-world-war-ii/?region=All,/games/boxart/full_2029207AmericaFrontccc.jpeg
16,World War II: Panzer Claws,14-Jan-04,4.99,"100,000-200,000",,Topware Interactive,250.0,181.0,61.0,51773,Strategy,T,PC,,,,,,,,,2002.0,http://www.vgchartz.com/game/27944/world-war-ii-panzer-claws/?region=All,/games/boxart/full_2334810AmericaFrontccc.jpg
17,Aura: Fate of the Ages,24-Jun-04,4.99,"50,000-100,000",Streko Graphics,THQ Nordic,0.0,0.0,63.0,23473,Adventure,E,PC,,,,,,,,,2004.0,http://www.vgchartz.com/game/21621/aura-fate-of-the-ages/?region=All,/games/boxart/4696360ccc.jpg
18,Guilty Gear X2 #Reload,23-Jul-04,9.99,"50,000-100,000",Arc System Works,Arc System Works,0.0,0.0,,10491,Fighting,T,XB,,,,0.15,0.11,0.03,,0.01,2004.0,http://www.vgchartz.com/game/921/guilty-gear-x2-reload/?region=All,/games/boxart/full_3961725AmericaFrontccc.jpg
19,Guilty Gear X2 #Reload,23-Jul-04,9.99,"50,000-100,000",Arc System Works,Arc System Works,0.0,0.0,,32715,Fighting,,PS2,,,,,,,,,2004.0,http://www.vgchartz.com/game/30908/guilty-gear-x2-reload/?region=All,/games/boxart/full_3377711PALFrontccc.jpg
20,Guilty Gear X2 #Reload,23-Jul-04,9.99,"50,000-100,000",Arc System Works,Arc System Works,0.0,0.0,,32716,Fighting,T,XBL,,,,,,,,,2008.0,http://www.vgchartz.com/game/36996/guilty-gear-x2-reload/?region=All,/games/boxart/full_7070418AmericaFrontccc.jpg
21,Platypus,2-Jun-04,6.99,"50,000-100,000",Idigicon,KISS ltd,0.0,0.0,,18237,Shooter,E,PSP,,,,0.02,0.02,0.0,,0.0,2006.0,http://www.vgchartz.com/game/1755/platypus/?region=All,/games/boxart/2839840ccc.jpg
22,Platypus,2-Jun-04,6.99,"50,000-100,000",Idigicon,KISS ltd,0.0,0.0,,41133,Action,E,PSN,,,,,,,,,2009.0,http://www.vgchartz.com/game/39015/platypus/?region=All,/games/boxart/full_7831015AmericaFrontccc.png
23,Platypus,2-Jun-04,6.99,"50,000-100,000",Idigicon,KISS ltd,0.0,0.0,,41134,Shooter,,XBL,,,,,,,,,2009.0,http://www.vgchartz.com/game/40044/platypus/?region=All,/games/boxart/full_2222082AmericaFrontccc.jpg
24,Platypus,2-Jun-04,6.99,"50,000-100,000",Idigicon,KISS ltd,0.0,0.0,,41135,Shooter,,PC,,,,,,,,,2004.0,http://www.vgchartz.com/game/84143/platypus/?region=All,/games/boxart/full_6570823AmericaFrontccc.jpg
25,Kohan II: Kings of War,21-Sep-04,9.99,"20,000-50,000",TimeGate Studios,TimeGate Studios,0.0,0.0,81.0,35591,Strategy,,PC,,,,,,,,,2004.0,http://www.vgchartz.com/game/33626/kohan-ii-kings-of-war/?region=All,/games/boxart/full_834412AmericaFrontccc.jpg
