Country & Location,Forest Type,Stand Age,Elev m,Soil Type,Soil Order Code,Soil Texture Code,Precipmm,Precip Group,Precip Code,AirTempMean,Air Temp Min,Air Temp Max,TNPP,Continent
Brazil - Egler Reserve,"terra firme forest of Leguminosae, Euphorbiaceae, Sapotaceae, Vochysiacea",mature,50,"nutrient-poor, clay-rich yellow oxisols",9,14,1771,Moist,5,27.2,.,.,26.8,South America
"Brazil - Fazenda Gaviao, Manaus (Biological Dynamics of Forest Fragments Project - BDFF)",terra firme forest,mature,50,"xanthic ferrasols, nutrient-poor, clay-rich yellow oxisols",9,12,2300,Moist,4,26.7,.,.,32,South America
Brazil - Fazenda Dimona Manaus (Biological Dynamics of Forest Fragments Project - BDFF),terra firme forest,mature,50,"nutrient-poor, clay-rich yellow oxisols",9,12,2300,Moist,4,26.7,.,.,31.8,South America
Brazil - Fazenda Cabo Frio Manaus (Biological Dynamics of Forest Fragments Project - BDFF),terra firme forest,mature,50,clayey latosol,9,12,2300,Moist,4,26.7,.,.,25.8,South America
Brazil – Fazenda Porto Alegre Manaus (Biological Dynamics of Forest Fragments Project - BDFF),terra firme forest,mature,50,clayey latosol,9,12,2300,Moist,4,26.7,.,.,23.2,South America
Brazil - Paragominas,evergreen primary forest,mature,0,"clayey, red-yellow Oxisols",9,13,1750,Moist,5,25,22,28,27.8,South America
Brazil,primary wet forest,mature,50,Oxisols,9,14,3521,wet,2,26.2,22,28,7.5,South America
Brazil,secondary wet forest,young,50,Oxisols,9,14,3521,wet,2,26.2,22,28,8.4,South America
Brazil,secondary wet forest,50,50,Oxisols,9,14,3521,wet,2,26.2,22,28,7.8,South America
"Brazil - CAX-03 Caxiuanã National Forest, Para State, Caxiuanã drought experiment control plot",tall primary forest,mature,15,"sandier site; Vetic Acrisol (Alumic, Hyperdystric), loamy sand, 75% sand, 10% silt, 15% clay",9,2,2314,Moist,4,26.9,22,28,23.2,South America
"Brazil - CAX-06 Caxiuanã National Forest, Para State, Caxiuanã flux tower site",tall primary forest,mature,15,"Clay ferralsol or oxisol; Geric Acric Ferralsol (Alumic, Hyperdystric, Clayic), loamy sand, 32.54% sand, 10% silt, 53.76% clay",9,14,2314,Moist,4,26.9,22,28,21.8,South America
"Brazil - CAX-08 Caxiuanã National Forest, Para State, Caxiuanã Terra Preta site",late successional forest,mature,15,"archaeo-anthrosol; Hortic Archaeo-Anthrosol (Ebonic, Clayic, Mesothropic, Mesic, Ferralic, loamy sand, 41.41% clay",9,2,2314,Moist,4,26.9,22,28,21.2,South America
Brazil - MAN-05 Manaus,old growth terra firme forests,mature,60,"clay-rich ferrasols & frequent waterlogged podzol; Geric Ferralsol (Alumic, Hyperdystric, Clayic), 20.97% sand, 12.81% silt, 66.21% clay",9,14,2272,Moist,4,27.1,22,28,20.2,South America
"Brazil - TAP-04 Tapajós National Forest, Pará State, Tapajós flux tower site",old growth terra firme forests,mature,90,"clay-rich Belterra clay ferralsols interspersed sandier soil patches; Geric Ferralsol (Alimic, Hyperdystric, Clayic, Xanthic), 2.86% sand, 7.89% silt, 89.25% clay",9,14,1968,Moist,5,26.1,22,28,28.8,South America
"China- Xinkou Experimental Forestry Centre, Sanming Nature Reserve, Fujian",subtropical evergreen broadleaved forest of Castanopsis,41,393,"red soils (humic planosols in FAO system), silty loam oxisols",9,7,1749,Moist,5,19.1,.,.,22.5,East Asia
"China - Menglun Nature Reserve in Xishuangbanna, Southwestern Yunnan",seasonal rain forest,mature,639,"rhodic ferralsol; lateritic derived from siliceous rocks (granite, gneiss) limestone derived soils",9,,1487,dry,6,21.7,15.9,25.7,17.6,East Asia
China,montane evergreen broadleaved,100,1130,"ultisol, acid, from granite, dark colour & fine texture",6,14,1744,Moist,5,19.6,-6.1,38.8,29.6,East Asia
Columbia - Porce region,premontane primary forest,mature,900,derived granitic rocks with low fertility & high acidity; Grouped into Entisol & Inceptisol,5,3,2078,Moist,4,22.7,21.3,24.1,29,South America
Columbia - Araracuara (Magdalena Terrace),evergreen seasonal forest,mature,200,"Infertile acid, surface water gleys",9,14,3000,Moist,4,27.5,26,28,21.2,South America
Columbia - AGP-01 Amacayacu National Natural Park Aqua Pudre plot E,primary old-growth terra firme forest,mature,102,"fertile clay plinthosols or aquic entisols; Endostagnic Plinthosol (Alumic, Hyperdystric), clay loam, 42.12% clay",7,11,2723,Moist,4,25.5,,,22.6,South America
Columbia - AGP-02 Amacayacu National Natural Park Aqua Pudre plot U,primary old-growth terra firme forest,mature,102,"fertile clay plinthosols or aquic entisols; Endostagnic Plinthosol (Alumic, Hyperdystric), clay loam, 43.10% clay",7,11,2723,Moist,4,25.5,,,23.4,South America
"Columbia - ZAR-01 Rio Calderon Forest Reserve Zafire, Varillal",primary forest,mature,80,"white sand podzol or spodosols, impermeable hardpan layer at ~100 cm; Ortseine Podzol (Oxyaquic), loamy sand, 0.64% clay",8,2,2723,Moist,4,25.5,,,18.6,South America
"Ecuador - Stand 1 provinces of Zamora-Chinchipe & Loja, Podocarpus National Park, South Ecuador",pre-montane forests,mature,1050,Alumic Acrisol or ultisols,6,14,2230,Moist,4,19.4,11.5,30.2,13.1,South America
"Ecuador - Stand 2 provinces of Zamora-Chinchipe & Loja, Podocarpus National Park, South Ecuador",pre-montane forests,mature,1540,Alumic Acrisol or ultisols,6,14,2300,Moist,4,17.5,11.2,26.7,12.8,South America
"Ecuador - Stand 3 Reserva Biológica San Francisco, South Ecuador",montane forests,mature,1890,"Gleyic Cambisol or inceptisol, 35.77% sand, 49.3% silt, 14.9% clay",5,6,1950,Moist,5,15.7,7.9,29.4,12.4,South America
"Ecuador - Stand 4 Reserva Biológica San Francisco, South Ecuador",montane forests,mature,2380,Gleyic Cambisol histosols,4,1,5000,wet,1,13.2,7,25.1,7.9,South America
"Ecuador - Stand 5 Cajanuma area of Podocarpus National Park, South Ecuador","stunted upper montane forest, elfin forest",mature,3060,Podzol,8,1,4500,wet,2,9.4,3.1,18.8,13,South America
"Hawaii, USA - Laupahoehoe",primary Metrosideros polymorpha forest,mature,1170,"histosols or lithic tropofolists, Typic Hydrandept",4,7,2500,Moist,4,16,.,.,16,Oceania
"Hawaii, USA - Kohala",primary Metrosideros polymorpha forest,mature,1122,histosols or lithic tropofolists,4,7,2500,Moist,4,16,.,.,17.8,Oceania
"Hawaii, USA - Kokee","primary Metrosideros polymorpha forest, disturbed by hurricane in 1982, 1992",mature,1134,"histosols or lithic tropofolists, Plinthic Acrudox",4,7,2500,Moist,4,16,.,.,14.2,Oceania
"Hawaii, USA - Mauna Loa (site2, 136yr soil) ",mountain volcanic Metrosideros polymorpha forest,young,700,"hydrous, isothermic, Acrudoxic Hydrudand in Akaka serieshistosols or lithic tropofolists",4,7,5750,wet,1,19.3,.,.,10,Oceania
"Hawaii, USA - Mauna Loa (site4, 136yr soil) ",mountain volcanic Metrosideros polymorpha forest,young,1660,shallow histosols or lithic tropofolists overlyaing pahoehoe bedrock,4,7,2600,Moist,4,13,.,.,12.7,Oceania
"Hawaii, USA - Mauna Loa (site5, 3400yr)",mountain volcanic Metrosideros polymorpha forest,mature,700,histosols; lithic tropofolists acid very dark brown friable slightly sticky strongly smeary mucks,4,7,5750,wet,1,19.3,.,.,5.8,Oceania
"Hawaii, USA - Mauna Loa (site6, 3400yr)",mountain volcanic Metrosideros polymorpha forest,mature,1660,shallow histosols or lithic tropofolists overlyaing pahoehoe bedrock,4,7,2600,Moist,4,13,.,.,7.4,Oceania
India - Western Ghats Site 1 (Pattighat),tropical wet evergreen,mature,1000,oxisol,9,6,2800,Moist,4,26.6,8,36,22.4*,South Asia
India - Western Ghats Site 2 (Brahamagiri),tropical wet evergreen,mature,1500,oxisol,9,6,3200,wet,3,24.6,8,36,27.7,South Asia
India - Western Ghats Site 3 (Padnailkannad),tropical wet evergreen,mature,1100,oxisol,9,6,2800,Moist,4,26.6,8,36,18.8,South Asia
India - Western Ghats Site 4 (Kadmakal),tropical wet evergreen,mature,1300,oxisol,9,6,3000,wet,4,25.6,8,36,25.8,South Asia
"India - Western Ghat mountains, Karnataka State (Site Agumbe)","evergreen rainforests, dipterocarps dominant",50,575,"oxisols developed from hornblendic bedrock, 87.8% sand, 5.9% silt, 6.3% clay",9,2,7670,wet,1,22.2,32,10,24.7,South Asia
"India - Western Ghat mountains, Karnataka State (Site Bannadpare)","evergreen rainforests, dipterocarps dominant",50,200,"oxisols developed from hornblendic bedrock, 70.1% sand, 7.2% silt, 22.7% clay",9,9,5310,wet,1,27,32,10,20.1,South Asia
"India - Western Ghat mountains, Karnataka State (Site Kagneri)","evergreen rainforests, dipterocarps dominant",50,500,"oxisols developed from hornblendic bedrock, 86.5% sand, 2.1% silt, 11.4% clay",9,2,6100,wet,1,28.6,32,10,22.6,South Asia
"India - Western Ghat mountains, Karnataka State (Site South Bhadra)","evergreen rainforests, dipterocarps dominant",50,800,"oxisols developed from hornblendic bedrock, 45.8% sand, 42.1% silt, 12.1% clay",9,6,6520,wet,1,22,32,10,20.7,South Asia
"India - Mirzapur district in Uttar Pradesh, Marihan range, East Mirzapur Forest Division, Site 1 Summit","mixed, dry deciduous forest",mature,280,"ultisols derived from Kaimur sandstones, reddish-brown in colour, sandy loam texture, sand (56-69 %), silt (24-28 %) & clay (4-16 %)",6,3,821,dry,7,27,17.5,35.7,19.2,South Asia
"India - Marihan range, East Mirzapur Forest Division, Site 2 Slope","mixed, dry deciduous forest",mature,280,"ultisols derived from Kaimur sandstones, reddish-brown in colour, sandy loam texture, sand (56-69 %), silt (24-28 %) & clay (4-16 %)",6,3,821,dry,7,27,17.5,35.7,14.8,South Asia
"India - Marihan range, East Mirzapur Forest Division, Site 3 Hill Base","mixed, dry deciduous forest",mature,280,"ultisols derived from Kaimur sandstones, reddish-brown in colour, sandy loam texture, sand (56-69 %), silt (24-28 %) & clay (4-16 %)",6,3,821,dry,7,27,17.5,35.7,11.3,South Asia
India - Central Himalaya,"Quercus lanuginosa/Q. floribunda, Tilonj-dominated mixed-oak",mature,2200,quartzite and slates,6,2,2488,Moist,4,15,6.4,42,27.9,South Asia
India - Central Himalaya,"Quercus lanuginosa/Q. floribunda, Rianj-dominated mixed-oak",mature,2150,"ultisol, dolomite limestone & conglomeratic sandstone, loamy sand",6,2,2488,Moist,4,15,6.4,42,20.9,South Asia
India - Central Himalaya,Mixed oak/ chir pine,mature,1850,mica schist and gneisses,6,2,1313,dry,6,15.8,6.4,42,18.9,South Asia
India - Central Himalaya,Pinus roxburghii/ Myrica esculenta,mature,1750,"ultisol, slates and dolomite, loamy sand",6,2,2185,Moist,4,15.8,6.4,42,19,South Asia
India - Central Himalaya,Shorea robusta/ Mallotus philippensis,mature,300,"ultisol, sandstone associated with slates",6,2,2076,Moist,4,23,6.4,42,18.8,South Asia
Indonesia - Central Sulawesi (Lore Lindu National Park,"paleotropical natural forest, premontane rain forest, evergreen",mature,1050,"ferralsol derived from metamorphic bedrock, well drained camisols, 63.7% sand, 24.6% silt, 11.7% clay",9,3,3543,wet,2,20.8,.,.,15.2*,Southeast Asia
Ivory Coast,"premontane, Banco",mature,50,"ferrallitique fortement desature, well drained",9,1,2095,Moist,4,26.7,.,.,34.8,West Africa
Ivory Coast,"premontane, Yapo Dacryodes klaineana, Allanblackia floribunda, Coula edulis",mature,70,"ferrallitique fortement desature, gravelly, poor drainage",9,1,1739,Moist,5,26.7,.,.,30,West Africa
Jamaica - Blue Mountain Mor Ridge,"montane rain forest, ridge; Lyonia spp, Octandra spp, Chaetocarpus globosus, Cyrilla racemiflora",mature,1550,Peat podzol,8,3,2500,Moist,4,15,8.5,24,25.4,North America
Jamaica - Blue Mountain Mull Ridge,"montane, Cyrilla racemiflora, Clethra occidentalis, Podocarpus urbanii, Hedyosmum arborescens",mature,1600,Peat podzol,8,3,2230,Moist,4,15.5,8.5,24,21,North America
Jamaica - Blue Mountain Gap Forest,"montane rain forest, Cyathea pubescens, Clethra occidentalis, Solanum punctulatum",mature,1590,Peat podzol,8,3,2230,Moist,4,15.3,8.5,24,23.6,North America
